"nr","time","Valandos","Prognoze","Skirtumas"
539,2008,3164,4583.79762640847,-1419.79762640847
539,2008.25,1816,3197.37350706906,-1381.37350706906
539,2008.5,1440,1584.02659363687,-144.026593636867
539,2008.75,1268,1327.93231166467,-59.9323116646685
554,2008,,2037.87462168345,
554,2008.25,,1946.53781148567,
554,2008.5,,1900.75560134299,
554,2008.75,,1856.15762730436,
557,2008,,2371.75401409812,
557,2008.25,,2553.08625920701,
557,2008.5,,2655.82898924516,
557,2008.75,,2445.40629429193,
572,2008,,5918.99297422304,
572,2008.25,,6696.52749379166,
572,2008.5,,7228.24449443669,
572,2008.75,,7728.31812630098,
592,2008,1410,833.047200640962,576.952799359038
592,2008.25,950,678.823595571304,271.176404428696
592,2008.5,886,499.012868348008,386.987131651992
592,2008.75,978,503.828010260138,474.171989739862
621,2008,,89.5121949035817,
621,2008.25,,83.318399054521,
621,2008.5,,79.4619449873558,
621,2008.75,,114.078453147701,
650,2008,,484.701236956348,
650,2008.25,,478.507441107287,
650,2008.5,,466.160968746933,
650,2008.75,,460.364962151144,
658,2008,5575,5045.07696829541,529.92303170459
658,2008.25,6520,5242.76820148153,1277.23179851847
658,2008.5,4659,5145.81173459446,-486.811734594457
658,2008.75,5953,5769.45943012164,183.540569878355
664,2008,956,482.060493596955,473.939506403045
664,2008.25,988,475.866697747894,512.133302252106
664,2008.5,1022,442.426282808607,579.573717191393
664,2008.75,1022,436.630276212818,585.369723787182
739,2008,,1146.47741641352,
739,2008.25,,1140.78609834896,
739,2008.5,,1140.01101540143,
739,2008.75,,607.617397145897,
746,2008,2575,1983.07112856661,591.928871433392
746,2008.25,2317,1705.69676436904,611.303235630956
746,2008.5,2506,2218.23028406117,287.769715938832
746,2008.75,2908,2438.14069335831,469.859306641691
751,2008,,823.875147944163,
751,2008.25,,837.115419348463,
751,2008.5,,817.320074381868,
751,2008.75,,811.524067786079,
754,2008,,1763.41738664192,
754,2008.25,,1851.44227535388,
754,2008.5,,1807.00115904108,
754,2008.75,,1848.12522829555,
755,2008,1224,3361.81644144181,-2137.81644144181
755,2008.25,1303,3106.38085523524,-1803.38085523524
755,2008.5,1257,2987.2945049814,-1730.2945049814
755,2008.75,1189,2961.22428310333,-1772.22428310333
797,2008,246,443.274544122316,-197.274544122316
797,2008.25,372,437.05119075652,-65.05119075652
797,2008.5,260,272.839442990199,-12.8394429901994
797,2008.75,78,256.77958870813,-178.77958870813
801,2008,,1942.48589793317,
801,2008.25,,4918.77714222595,
801,2008.5,,7825.63085220686,
801,2008.75,,3712.92173797774,
814,2008,3623,3618.00389606552,4.9961039344762
814,2008.25,3228,3539.40359264683,-311.40359264683
814,2008.5,3232,3594.12487305388,-362.124873053877
814,2008.75,3251,3575.48418316166,-324.484183161664
818,2008,,1334.25320544796,
818,2008.25,,1161.73349751925,
818,2008.5,,985.580512991924,
818,2008.75,,1098.41436852126,
821,2008,,942.364745017256,
821,2008.25,,939.607010488657,
821,2008.5,,924.097505448658,
821,2008.75,,922.469108712526,
828,2008,1602,,
828,2008.25,1442,1519.8700541938,-77.8700541937967
828,2008.5,1640,1826.64891628857,-186.648916288566
828,2008.75,1705,1867.70106568466,-162.701065684655
899,2008,,458.136389383035,
899,2008.25,,454.04117722217,
899,2008.5,,453.753793300774,
899,2008.75,,441.758097569788,
912,2008,,1630.64743710564,
912,2008.25,,1565.01563041047,
912,2008.5,,1544.90001672206,
912,2008.75,,1578.67133810169,
923,2008,2679,2259.98865969457,419.011340305426
923,2008.25,3617,2573.32780624409,1043.67219375591
923,2008.5,3576,2707.27112488298,868.728875117023
923,2008.75,3026,2559.85736741383,466.142632586175
951,2008,,2233.17555095381,
951,2008.25,,2545.37946681853,
951,2008.5,,2855.67922081366,
951,2008.75,,2670.32292402005,
963,2008,,600.973990866708,
963,2008.25,,592.452540574754,
963,2008.5,,801.645043166333,
963,2008.75,,760.948998685516,
977,2008,1224,1208.85766439404,15.142335605957
977,2008.25,1160,1201.85842621395,-41.8584262139495
977,2008.5,1164,1202.05874131868,-38.0587413186836
977,2008.75,1420,1195.70114190493,224.298858095073
991,2008,,507.449799277925,
991,2008.25,,260.662527793305,
991,2008.5,,28.3943221809102,
991,2008.75,,21840.0957607483,
1075,2008,,441.327355462041,
1075,2008.25,,437.350373368117,
1075,2008.5,,493.333111931263,
1075,2008.75,,425.407205158189,
1081,2008,,3040.663867481,
1081,2008.25,,2828.99689064547,
1081,2008.5,,2509.36167088462,
1081,2008.75,,2481.9027175519,
1086,2008,,,
