"nr","time","veikla","grupe","paj","dsk","val","atlyg","ter","nace1","nace2"
539,2005,70,3,332763,31,13687,94319,13,702000,682000
539,2005.25,70,3,304390,32,7703,89000,13,702000,682000
539,2005.5,70,3,322829,28,12407,95465,13,702000,682000
539,2005.75,70,3,322612,20,6893,67841,13,702000,682000
539,2006,70,3,324832,17,4957,54130,13,702000,682000
539,2006.25,70,3,287041,16,4397,57413,13,702000,682000
539,2006.5,70,3,287194,14,3588,53918,13,702000,682000
539,2006.75,70,3,329546,12.5,3311,51470,13,702000,682000
539,2007,70,3,351763,11.5,2941,47838,13,702000,682000
539,2007.25,70,3,335161,12,2795,47838,13,702000,682000
539,2007.5,70,3,334062,13.5,3379,59754,13,702000,682000
539,2007.75,70,3,367416,14,3557,53964,13,702000,682000
539,2008,70,3,271420,13,3164,52148,13,702000,682000
539,2008.25,70,3,23031,9.5,1816,42678,13,702000,682000
539,2008.5,70,3,17182,5.5,1440,33540,13,702000,682000
539,2008.75,70,3,17755,4.5,1268,19935,13,702000,682000
554,2005,70,3,128200,8,2776,31499,41,702000,682000
554,2005.25,70,3,88005,7,2707,31147,41,702000,682000
554,2005.5,70,3,85448,7,2771,22898,41,702000,682000
554,2005.75,70,3,92718,8,3452,30066,41,702000,682000
554,2006,70,3,104356,8,2566,22458,41,702000,682000
554,2006.25,70,3,74384,7,2300,21978,41,702000,682000
554,2006.5,70,3,73188,6,2317,23870,41,702000,682000
554,2006.75,70,3,88844,6,2589,33188,41,702000,682000
554,2007,70,3,,6,,23659,41,702000,682000
554,2007.25,70,3,,6,,23659,41,702000,682000
554,2007.5,70,3,,6.5,,30716,41,702000,682000
554,2007.75,70,3,,6.5,,30042,41,702000,682000
554,2008,70,3,,6,,31998,41,702000,682000
554,2008.25,70,3,,6,,31349,41,702000,682000
554,2008.5,70,3,,6,,31001,41,702000,682000
554,2008.75,70,3,0,5.5,,52091,41,702000,682000
557,2005,70,3,,,,,41,702000,682000
557,2005.25,70,3,,,,,41,702000,682000
557,2005.5,70,3,,,,,41,702000,682000
557,2005.75,70,3,,,,,41,702000,682000
557,2006,70,3,11062,2,992,5850,41,702000,682000
557,2006.25,70,3,10186,2,960,5850,41,702000,682000
557,2006.5,70,3,9666,2,1008,6200,41,702000,682000
557,2006.75,70,3,8180,2,992,6000,41,702000,682000
557,2007,70,3,,4,,42374,41,702000,682000
557,2007.25,70,3,,4,,42374,41,702000,682000
557,2007.5,70,3,,6,,52805,41,702000,682000
557,2007.75,70,3,,6,,52736,41,702000,682000
557,2008,70,3,,6.5,,62824,41,702000,682000
557,2008.25,70,3,,7,,65629,41,702000,682000
557,2008.5,70,3,,7,,79582,41,702000,682000
557,2008.75,70,3,0,7,,51890,41,702000,682000
572,2005,70,3,142779,13,5026,41324,41,702000,682000
572,2005.25,70,3,169336,13,5416,43301,41,702000,682000
572,2005.5,70,3,142332,15,5825,44945,41,702000,682000
572,2005.75,70,3,160378,15,6855,52952,41,702000,682000
572,2006,70,3,217174,16,6572,51632,41,702000,682000
572,2006.25,70,3,226906,17,7138,59041,41,702000,682000
572,2006.5,70,3,213148,17,5488,56177,41,702000,682000
572,2006.75,70,3,243523,17,6691,55994,41,702000,682000
572,2007,70,3,,17,,63116,41,702000,682000
572,2007.25,70,3,,17,,63116,41,702000,682000
572,2007.5,70,3,,17,,64835,41,702000,682000
572,2007.75,70,3,,15.5,,70057,41,702000,682000
572,2008,70,3,,17,,77864,41,702000,682000
572,2008.25,70,3,,19,,111316,41,702000,682000
572,2008.5,70,3,,20.5,,139889,41,702000,682000
572,2008.75,70,3,0,21.5,,133418,41,702000,682000
592,2005,70,3,349909,3,1387,10255,39,702000,682000
592,2005.25,70,3,309569,3,1437,10082,39,702000,682000
592,2005.5,70,3,290187,3,1406,10541,39,702000,682000
592,2005.75,70,3,282109,3,1565,11105,39,702000,682000
592,2006,70,3,285283,3.5,1642,12955,39,702000,682000
592,2006.25,70,3,287889,3,1437,16502,39,702000,682000
592,2006.5,70,3,262560,3,1179,12438,39,702000,682000
592,2006.75,70,3,251562,3,1506,12360,39,702000,682000
592,2007,70,3,253413,3,1485,12360,39,702000,682000
592,2007.25,70,3,252961,3,1397,12360,39,702000,682000
592,2007.5,70,3,254956,3,1181,11159,39,702000,682000
592,2007.75,70,3,251760,3,1503,13802,39,702000,682000
